package,date,downloads
ggplot2,2015-01-08,2732
ggplot2,2015-01-09,2661
ggplot2,2015-01-10,1451
ggplot2,2015-01-11,1601
ggplot2,2015-01-12,3186
ggplot2,2015-01-13,3283
ggplot2,2015-01-14,3548
ggplot2,2015-01-15,3574
ggplot2,2015-01-16,3277
ggplot2,2015-01-17,1868
ggplot2,2015-01-18,1922
ggplot2,2015-01-19,3078
ggplot2,2015-01-20,3985
ggplot2,2015-01-21,3935
ggplot2,2015-01-22,4165
ggplot2,2015-01-23,3327
ggplot2,2015-01-24,1859
ggplot2,2015-01-25,1931
ggplot2,2015-01-26,3540
ggplot2,2015-01-27,3996
ggplot2,2015-01-28,4505
ggplot2,2015-01-29,4142
ggplot2,2015-01-30,4131
ggplot2,2015-01-31,2083
ggplot2,2015-02-01,1719
ggplot2,2015-02-02,3588
ggplot2,2015-02-03,4061
ggplot2,2015-02-04,4076
ggplot2,2015-02-05,4078
ggplot2,2015-02-06,3868
ggplot2,2015-02-07,1775
ggplot2,2015-02-08,1785
ggplot2,2015-02-09,3610
ggplot2,2015-02-10,3837
ggplot2,2015-02-11,3980
ggplot2,2015-02-12,3711
ggplot2,2015-02-13,3375
ggplot2,2015-02-14,1975
ggplot2,2015-02-15,1912
ggplot2,2015-02-16,3466
ggplot2,2015-02-17,4466
ggplot2,2015-02-18,4694
ggplot2,2015-02-19,4157
ggplot2,2015-02-20,3852
ggplot2,2015-02-21,2313
ggplot2,2015-02-22,2535
ggplot2,2015-02-23,4140
ggplot2,2015-02-24,4368
ggplot2,2015-02-25,4420
ggplot2,2015-02-26,4157
ggplot2,2015-02-27,3888
ggplot2,2015-02-28,1785
ggplot2,2015-03-01,2071
ggplot2,2015-03-02,4361
ggplot2,2015-03-03,4730
ggplot2,2015-03-04,4491
ggplot2,2015-03-05,4671
ggplot2,2015-03-06,4228
ggplot2,2015-03-07,2439
ggplot2,2015-03-08,2733
ggplot2,2015-03-09,5200
ggplot2,2015-03-10,6114
ggplot2,2015-03-11,5751
ggplot2,2015-03-12,5368
ggplot2,2015-03-13,4833
ggplot2,2015-03-14,2556
ggplot2,2015-03-15,2894
ggplot2,2015-03-16,4682
ggplot2,2015-03-17,5113
ggplot2,2015-03-18,6093
ggplot2,2015-03-19,6151
ggplot2,2015-03-20,5128
ggplot2,2015-03-21,3138
ggplot2,2015-03-22,3303
ggplot2,2015-03-23,5782
ggplot2,2015-03-24,6128
ggplot2,2015-03-25,5777
ggplot2,2015-03-26,5396
ggplot2,2015-03-27,4798
ggplot2,2015-03-28,2691
ggplot2,2015-03-29,2788
ggplot2,2015-03-30,5293
ggplot2,2015-03-31,5365
ggplot2,2015-04-01,5411
ggplot2,2015-04-02,4903
ggplot2,2015-04-03,3855
ggplot2,2015-04-04,2320
ggplot2,2015-04-05,2344
ggplot2,2015-04-06,4229
ggplot2,2015-04-07,5347
ggplot2,2015-04-08,5334
ggplot2,2015-04-09,5499
ggplot2,2015-04-10,4704
ggplot2,2015-04-11,2644
ggplot2,2015-04-12,2727
ggplot2,2015-04-13,5298
ggplot2,2015-04-14,5567
ggplot2,2015-04-15,5517
ggplot2,2015-04-16,5399
ggplot2,2015-04-17,5245
ggplot2,2015-04-18,3688
ggplot2,2015-04-19,3989
ggplot2,2015-04-20,6865
ggplot2,2015-04-21,6523
